node_tag,prop_label,prop_tag_house,prop_tag_senate,auth_tag_house,auth_label_house,auth_tag_senate,auth_label_senate
UP:0,MPV 1000/2020,P:2262062,P:7979012,,,,
UP:1,MPV 1001/2020,P:2262906,P:7983532,,,,
UP:2,MPV 1002/2020,P:2263381,P:7987460,,,,
UP:3,MPV 1003/2020,P:2263410,P:7987889,,,,
UP:4,MPV 1004/2020,P:2263411,P:7987895,,,,
UP:5,MPV 1005/2020,P:2263649,P:7989153,,,,
UP:6,MPV 1006/2020,P:2263719,P:7989627,,,,
UP:7,MPV 1007/2020,P:2263759,P:7989841,,,,
UP:8,MPV 1008/2020,P:2264701,P:7995956,,,,
UP:9,MPV 1009/2020,P:2265215,P:7999219,,,,
UP:10,MPV 1010/2020,P:2265603,P:8001813,,,,
UP:11,MPV 1011/2020,P:2265604,P:8001829,,,,
UP:12,MPV 1012/2020,P:2265828,P:8002504,,,,
UP:13,MPV 1013/2020,P:2266070,P:8003818,,,,
UP:14,MPV 1014/2020,P:2266115,P:8004052,,,,
UP:15,MPV 1015/2020,P:2267557,P:8010126,,,,
UP:16,MPV 1016/2020,P:2267685,P:8010346,,,,
UP:17,MPV 1017/2020,P:2267686,P:8010359,,,,
UP:18,MPV 1018/2020,P:2267811,P:8010599,,,,
UP:19,MPV 1019/2020,P:2268407,P:8013939,,,,
UP:20,MPV 1020/2020,P:2268408,P:8013952,,,,
UP:21,MPV 1021/2020,P:2268414,P:8014014,,,,
UP:22,MPV 1022/2020,P:2268415,P:8014119,,,,
UP:23,MPV 1023/2020,P:2268416,P:8014132,,,,
UP:24,MPV 1024/2020,P:2268417,P:8014145,,,,
UP:25,MPV 1025/2020,P:2268418,P:8014158,,,,
UP:26,MPV 1026/2021,P:2268424,P:8014347,,,,
UP:27,MPV 1027/2021,P:2268619,P:8015857,,,,
UP:28,MPV 1028/2021,P:2269911,P:8020591,,,,
UP:29,MPV 1029/2021,P:2270100,P:8021206,,,,
UP:30,MPV 1030/2021,P:2270642,P:8024315,,,,
UP:31,MPV 1031/2021,P:2270789,P:8025319,,,,
UP:32,MPV 1032/2021,P:2270901,P:8027545,,,,
UP:33,MPV 1033/2021,P:2270902,P:8028076,,,,
UP:34,MPV 1034/2021,P:2271124,P:8041810,,,,
UP:35,MPV 1035/2021,P:2273193,P:8044745,,,,
UP:36,MPV 1036/2021,P:2274251,P:8050002,,,,
UP:37,MPV 1037/2021,P:2274425,P:8050462,,,,
UP:38,MPV 1038/2021,P:2274426,P:8050468,,,,
UP:39,MPV 1039/2021,P:2274427,P:8050474,,,,
UP:40,MPV 1040/2021,P:2275840,P:8055037,,,,
UP:41,MPV 1041/2021,P:2276089,P:8056149,,,,
UP:42,MPV 1042/2021,P:2278161,P:8062217,,,,
UP:43,MPV 1043/2021,P:2278471,P:8063107,,,,
UP:44,MPV 1044/2021,P:2279512,P:8066218,,,,
UP:45,MPV 1045/2021,P:2279513,P:8066317,,,,
UP:46,MPV 1046/2021,P:2279514,P:8066323,,,,
UP:47,MPV 1047/2021,P:2280241,P:8073177,,,,
UP:48,MPV 1048/2021,P:2282213,P:8076338,,,,
UP:49,MPV 1049/2021,P:2283064,P:8078860,,,,
UP:50,MPV 1050/2021,P:2283432,P:8080683,,,,
UP:51,MPV 1051/2021,P:2283436,P:8080714,,,,
UP:52,MPV 1052/2021,P:2283678,P:8081560,,,,
UP:53,MPV 1053/2021,P:2285718,P:8087458,,,,
UP:54,MPV 1054/2021,P:2286127,P:8089221,,,,
UP:55,MPV 1055/2021,P:2288490,P:8097611,,,,
UP:56,MPV 1056/2021,P:2289598,P:8102018,,,,
UP:57,MPV 1057/2021,P:2289855,P:8102678,,,,
UP:58,MPV 1058/2021,P:2291794,P:8109629,,,,
UP:59,MPV 1059/2021,P:2291807,P:8110259,,,,
UP:60,MPV 1060/2021,P:2292804,P:8113025,,,,
UP:61,MPV 1061/2021,P:2293428,P:8117541,,,,
UP:62,MPV 1062/2021,P:2293430,P:8117547,,,,
UP:63,MPV 1063/2021,P:2294020,P:8120091,,,,
UP:64,MPV 1064/2021,P:2294713,P:8125163,,,,
UP:65,MPV 1065/2021,P:2296832,P:8131482,,,,
UP:66,MPV 1066/2021,P:2297576,P:8134476,,,,
UP:67,MPV 1067/2021,P:2297579,P:8134482,,,,
UP:68,MPV 1068/2021,P:2297723,P:8134730,,,,
UP:69,MPV 1069/2021,P:2298422,P:8137362,,,,
UP:70,MPV 1070/2021,P:2298445,P:8137447,,,,
UP:71,MPV 1071/2021,P:2300088,P:8143055,,,,
UP:72,MPV 1072/2021,P:2301321,P:8147722,,,,
UP:73,MPV 1073/2021,P:2305112,P:8158365,,,,
UP:74,MPV 1074/2021,P:2306957,P:8164870,,,,
UP:75,MPV 1075/2021,P:2310615,P:8177938,,,,
UP:76,MPV 1076/2021,P:2311299,P:8178942,,,,
UP:77,MPV 1077/2021,P:2311300,P:8178955,,,,
UP:78,MPV 1078/2021,P:2312199,P:8182552,,,,
UP:79,MPV 1079/2021,P:2312504,P:8183799,,,,
UP:80,MPV 1080/2021,P:2313170,P:8186092,,,,
UP:81,MPV 1081/2021,P:2313545,P:8187405,,,,
UP:82,MPV 1082/2021,P:2313546,P:8188684,,,,
UP:83,MPV 1083/2021,P:2313727,P:8188937,,,,
UP:84,MPV 1084/2021,P:2313728,P:8188943,,,,
UP:85,MPV 1085/2021,P:2313729,P:8189024,,,,
UP:86,MPV 1086/2021,P:2313730,P:8189041,,,,
UP:87,MPV 1087/2021,P:2313732,P:8189213,,,,
UP:88,MPV 1088/2021,P:2313733,P:8189246,,,,
UP:89,MPV 1089/2021,P:2313734,P:8189266,,,,
UP:90,MPV 1090/2021,P:2313735,P:8189339,,,,
UP:91,MPV 1091/2021,P:2313736,P:8189352,,,,
