proc_tag,auth_tag
P:2526458,O:55126
P:663587,S:825
P:2978567,S:825
P:2968939,S:825
P:2970890,S:945
P:2965245,S:945
P:2958548,O:2
P:2958841,S:825
P:516008,O:2
P:516203,O:2
P:610304,S:1249
P:610472,S:5008
P:610904,S:5008
P:611240,S:5008
P:611382,S:5008
P:612317,S:5008
P:613081,S:3695
P:613151,S:5008
P:613247,S:825
P:613343,S:5008
P:613653,S:739
P:613749,S:5008
P:615237,S:5008
P:615717,S:5008
P:615933,S:739
P:616053,S:5008
P:616221,S:5008
P:616317,S:945
P:617251,S:5008
P:618087,S:739
P:618135,S:945
P:618255,S:5008
P:618759,S:739
P:619307,S:825
P:1410299,S:5016
P:1410360,S:5016
P:1410435,S:825
P:1410481,S:1249
P:1410647,S:825
P:1410719,S:5008
P:1411005,S:739
P:1411233,S:5008
P:2944571,O:2
P:2945739,S:5008
P:2946072,S:825
P:2946964,S:739
P:2947243,O:2
P:2947601,S:945
P:2947649,S:5008
P:2948261,S:5008
P:2948285,S:5008
P:2948525,S:5008
P:2949267,S:5008
P:2950718,S:1249
P:2951481,S:825
P:2951553,S:825
P:2951865,S:739
P:2952214,S:5008
P:2952745,S:739
P:2952904,S:739
P:2952976,S:1249
P:2953085,S:739
P:2953277,S:739
P:2953530,S:825
P:2954193,S:739
P:3044860,S:5008
P:513827,O:2
P:603637,S:825
P:603901,S:5008
P:603925,S:5008
P:604045,S:825
P:604381,S:4988
P:604405,S:825
P:604477,S:1249
P:604525,S:739
P:607421,S:825
P:607445,S:825
P:608129,S:739
P:608730,S:739
P:609346,S:5008
P:1409397,S:604
P:2936208,O:2
P:2937525,S:825
P:2937549,S:825
P:2937825,S:5008
P:2938411,S:825
P:2938507,S:825
P:2938666,S:825
P:2939030,S:825
P:2939135,O:2
P:2941562,S:739
P:2941996,S:739
P:2944079,S:5008
P:2944197,S:739
P:3041518,O:55146
P:3042433,O:2
P:511411,O:2
P:512113,O:2
P:512230,O:2
P:595362,S:739
P:596294,S:5008
P:596936,S:945
P:596984,S:825
P:597222,S:739
P:597462,S:945
P:597580,S:825
P:597628,S:739
P:597724,S:739
P:598074,S:4994
P:598542,S:825
P:599020,S:739
P:599571,S:739
P:600119,S:739
P:601841,S:5008
P:602129,S:739
P:602725,S:825
P:1405342,S:5070
P:1406222,S:5144
P:1407155,S:5016
P:2928971,S:825
P:2930133,S:825
P:2930181,S:825
P:2931225,S:5008
P:2931719,S:5008
P:2932396,O:2
P:2933365,S:825
P:2933844,S:739
P:2934411,O:2
P:2934760,O:2
P:2934859,S:825
P:2935695,S:739
P:2935933,S:1249
P:3038932,S:5535
P:3039078,S:604
P:3039992,S:5070
P:3040642,S:5070
P:508717,O:2
P:509497,O:2
P:509615,O:2
P:509888,O:2
P:510397,O:2
P:510436,O:2
P:510904,O:2
P:510943,O:2
P:587919,S:1249
P:587991,S:739
P:588157,S:1249
P:588968,S:945
P:590696,S:825
P:590720,S:825
P:590768,S:5008
P:591200,S:739
P:591792,S:4981
P:592102,S:825
P:592174,S:945
P:592650,S:5008
P:592674,S:5008
P:592698,S:739
P:592722,S:739
P:593562,S:945
P:593686,S:945
P:593830,S:739
P:593926,S:825
P:594188,S:739
P:594286,S:5008
P:1403234,S:5070
P:1403285,S:4772
P:1404464,S:5016
P:1404936,S:5144
P:1405040,S:604
P:2923257,S:1249
P:2923281,S:1249
P:2923305,S:1249
P:2924041,O:2
P:2924777,S:1249
P:2925300,O:2
P:2925441,O:2
P:2925516,S:945
P:2925538,S:825
P:2925865,S:739
P:2925913,S:739
P:2927384,S:825
P:2927552,S:825
P:2927576,S:825
P:2927672,S:945
P:2927961,S:739
P:3037890,O:2
P:502664,O:2
P:502818,O:2
P:502857,O:2
P:502935,O:2
P:503091,O:2
P:503130,O:2
P:503208,O:2
P:503286,O:2
P:503403,O:2
P:503442,O:2
P:503481,O:2
P:503559,O:2
P:503637,O:2
P:503793,O:2
P:503832,O:2
P:503871,O:2
P:503949,O:2
P:503988,O:2
P:504027,O:2
P:504105,O:2
P:504144,O:2
P:504183,O:2
P:504222,O:2
P:504300,O:2
P:504417,O:2
P:504456,O:2
P:504573,O:2
P:504612,O:2
P:504651,O:2
P:504729,O:2
P:504807,O:2
P:504846,O:2
P:504963,O:2
P:505081,O:2
P:505120,O:2
P:505159,O:2
P:505198,O:2
P:505237,O:2
P:505393,O:2
P:505432,O:2
P:505549,O:2
P:505588,O:2
P:505627,O:2
P:505783,O:2
P:505822,O:2
P:505861,O:2
P:505900,O:2
P:505978,O:2
P:506056,O:2
P:506095,O:2
P:506134,O:2
P:506290,O:2
P:506368,O:2
P:506407,O:2
P:506446,O:2
P:506485,O:2
P:506524,O:2
P:506563,O:2
P:506602,O:2
P:506680,O:2
P:506724,O:2
P:506763,O:2
P:506802,O:2
P:506880,O:2
P:506919,O:2
P:507075,O:2
P:507114,O:2
P:507192,O:2
P:507270,O:2
P:507348,O:2
P:507465,O:2
P:507581,O:2
P:507620,O:2
P:507659,O:2
P:507813,O:2
P:507969,O:2
P:508011,O:2
P:573632,S:677
P:573704,S:825
P:573752,S:5178
P:573801,S:5637
P:573849,S:825
P:573993,S:4990
P:574017,S:5533
P:574113,S:5012
P:574185,S:4988
P:574279,S:374
P:574305,S:5529
P:574377,S:5529
P:574498,S:3830
P:574522,S:3830
P:574594,S:5012
P:574690,S:5012
P:575050,S:5540
P:575074,S:5533
P:575122,S:456
P:575146,S:5527
P:575194,S:3830
P:575266,S:4560
P:575386,S:3398
P:575506,S:5012
P:575530,S:5523
P:575602,S:3634
P:575794,S:5637
P:576058,S:945
P:576130,S:3361
P:576178,S:5012
P:576250,S:5535
P:576394,S:5540
P:576418,S:2207
P:576562,S:5535
P:576586,S:3830
P:576802,S:945
P:576922,S:3713
P:576971,S:5112
P:577019,S:3372
P:577043,S:456
P:577067,S:5523
P:577115,S:3366
P:577283,S:456
P:577307,S:456
P:577427,S:677
P:577451,S:90
P:577475,S:3360
P:577643,S:5637
P:577667,S:5533
P:577691,S:5533
P:577715,S:5533
P:577931,S:1176
P:578003,S:3830
P:578027,S:5540
P:578193,S:3830
P:578217,S:3830
P:578337,S:677
P:578361,S:677
P:578409,S:3823
P:578553,S:4558
P:578649,S:635
P:578865,S:3830
P:578937,S:825
P:578985,S:5637
P:579179,S:5038
P:579299,S:5533
P:579347,S:5533
P:579607,S:5527
P:579655,S:3366
P:579775,S:2207
P:579823,S:2331
P:579871,S:2331
P:579895,S:90
P:579919,S:90
P:579943,S:5008
P:579967,S:5525
P:580111,S:5529
P:580159,S:3830
P:580255,S:5637
P:580279,S:3830
P:580351,S:3830
P:580447,S:5523
P:580471,S:5523
P:580663,S:5144
P:580692,S:5197
P:580908,S:5100
P:580980,S:3830
P:581052,S:5529
P:581100,S:5236
P:581172,S:5533
P:581220,S:3830
P:581244,S:3830
P:581292,S:3830
P:581316,S:3830
P:581340,S:5236
P:581388,S:5540
P:581460,S:5236
P:581535,S:677
P:581607,S:5178
P:581703,S:5236
P:581727,S:5012
P:581871,S:5527
P:582103,S:5637
P:582151,S:558
P:582199,S:3
P:582367,S:5112
P:582391,S:5537
P:582439,S:456
P:582461,S:4981
P:582533,S:5540
P:582581,S:3830
P:582677,S:5012
P:582845,S:456
P:582869,S:5006
P:582941,S:111
P:583013,S:5070
P:583061,S:4558
P:583085,S:5540
P:583157,S:677
P:583205,S:456
P:583229,S:456
P:583253,S:5236
P:583277,S:5540
P:583301,S:5533
P:583325,S:3
P:583421,S:5236
P:583445,S:5523
P:583565,S:456
P:583613,S:4981
P:583637,S:5012
P:583661,S:5012
P:583685,S:5012
P:583709,S:456
P:583733,S:945
P:583757,S:5540
P:583805,S:3713
P:583829,S:3372
P:583853,S:5070
P:584069,S:945
P:584093,S:5012
P:584261,S:4981
P:584333,S:5100
P:584429,S:677
P:584477,S:456
P:584549,S:677
P:584645,S:3830
P:584669,S:3830
P:584693,S:3830
P:584717,S:3830
P:584741,S:2207
P:584765,S:3713
P:584933,S:5637
P:584981,S:456
P:585125,S:739
P:585173,S:643
P:585221,S:5012
P:585269,S:5523
P:585293,S:5523
P:585317,S:677
P:585365,S:456
P:585389,S:456
P:585509,S:456
P:585533,S:456
P:585605,S:5236
P:585629,S:5236
P:585773,S:5012
P:585845,S:3830
P:585893,S:4981
P:585965,S:677
P:586049,S:945
P:586073,S:4560
P:586121,S:3830
P:586145,S:3830
P:586169,S:3830
P:586193,S:5540
P:586217,S:5012
P:586241,S:5008
P:586265,S:5008
P:586313,S:5008
P:586457,S:3830
P:586505,S:5008
P:586601,S:5012
P:586769,S:5322
P:586913,S:5523
P:586961,S:5523
P:587111,S:5012
P:587135,S:5012
