tag,label,type
O:55126,Presidência da República,orgao
S:825,Paulo Paim,senador
S:945,Alvaro Dias,senador
O:2,Câmara dos Deputados,orgao
S:1249,Kátia Abreu,senador
S:5008,Humberto Costa,senador
S:3695,Lindbergh Farias,senador
S:739,Ciro Nogueira,senador
S:5016,Wellington Dias,senador
S:4988,Ana Amélia,senador
S:604,Walter Pinheiro,senador
O:55146,Assembléia Legislativa do Estado de São Paulo,orgao
S:4994,Eduardo Braga,senador
S:5070,Wilder Morais,senador
S:5144,Zeze Perrella,senador
S:5535,Telmário Mota,senador
S:4981,Acir Gurgacz,senador
S:4772,Wilson Matos,senador
S:677,Roberto Rocha,senador
S:5178,Douglas Cintra,senador
S:5637,Donizeti Nogueira,senador
S:4990,Jorge Viana,senador
S:5533,Lasier Martins,senador
S:5012,Randolfe Rodrigues,senador
S:374,Paulo Rocha,senador
S:5529,Antonio Anastasia,senador
S:3830,Davi Alcolumbre,senador
S:5540,Fernando Bezerra Coelho,senador
S:456,Ronaldo Caiado,senador
S:5527,Simone Tebet,senador
S:4560,Sérgio Petecão,senador
S:3398,Cristovam Buarque,senador
S:5523,Otto Alencar,senador
S:3634,Flexa Ribeiro,senador
S:3361,José Maranhão,senador
S:2207,Raimundo Lira,senador
S:3713,Fátima Bezerra,senador
S:5112,José Medeiros,senador
S:3372,Valdir Raupp,senador
S:3366,Marcelo Crivella,senador
S:90,José Serra,senador
S:3360,Delcídio do Amaral,senador
S:1176,Waldemir Moka,senador
S:3823,Benedito de Lira,senador
S:4558,Gladson Cameli,senador
S:635,Ricardo Ferraço,senador
S:5038,Sandra Braga,senador
S:2331,Rose de Freitas,senador
S:5525,Omar Aziz,senador
S:5197,Cássio Cunha Lima,senador
S:5100,Hélio José,senador
S:5236,Reguffe,senador
S:558,Vanessa Grazziotin,senador
S:3,Antonio Carlos Valadares,senador
S:5537,Dário Berger,senador
S:5006,Gleisi Hoffmann,senador
S:111,Blairo Maggi,senador
S:643,Lúcia Vânia,senador
S:5322,Romário,senador
S:1173,Wellington Fagundes,senador
O:3947535,"Comissão de Constituição, Justiça e Cidadania",orgao
S:4763,Vicentinho Alves,senador
O:1,Senado Federal,orgao
O:7349805,Comissão de Legislação Participativa,orgao
O:3947532,"Comissão de Ciência, Tecnologia, Inovação e Informática",orgao
O:3947422,Comissão de Direitos Humanos e Legislação Participativa,orgao
S:73,Romero Jucá,senador
S:3394,João Capiberibe,senador
S:631,Magno Malta,senador
S:1023,Maria do Carmo Alves,senador
S:5617,Pastor Valadares,senador
S:87,Garibaldi Alves Filho,senador
S:5004,Ivo Cassol,senador
S:40,José Agripino,senador
S:391,Aécio Neves,senador
S:4721,Eduardo Amorim,senador
O:7349511,CPI do Assassinato de Jovens - 2015,orgao
S:5635,Ricardo Franco,senador
S:5182,Regina Sousa,senador
S:3741,Paulo Bauer,senador
O:7349547,CPI do Futebol - 2015,orgao
O:55451,Comissão Diretora do Senado Federal,orgao
O:3947523,Comissão de Agricultura e Reforma Agrária,orgao
S:5619,Thieres Pinto,senador
S:4697,Ângela Portela,senador
S:5531,Elmano Férrer,senador
S:35,Jader Barbalho,senador
S:5108,Cidinho Santos,senador
S:5132,Dalirio Beber,senador
O:5246321,CPI da Previdência - 2017,orgao
S:3396,Tasso Jereissati,senador
O:3947537,Comissão de Assuntos Econômicos,orgao
S:5106,Sérgio de Castro,senador
S:4575,Lídice da Mata,senador
S:5052,Roberto Muniz,senador
S:5116,Pedro Chaves,senador
O:CC,Comissão do Congresso Nacional,orgao
O:5073482,"Comissão Mista de Desburocratização (ATN nº 3, de 2016 )",orgao
S:4969,Elber Batalha,senador
S:615,José Pimentel,senador
S:72,Roberto Requião,senador
S:5140,Airton Sandoval,senador
S:5018,Pastor Bel,senador
S:4767,Eduardo Lopes,senador
O:6018171,CPI do BNDES - 2017,orgao
S:612,Eunício Oliveira,senador
S:950,João Alberto Souza,senador
S:70,Renan Calheiros,senador
S:5000,Marta Suplicy,senador
S:5621,Rudson Leite,senador
O:7349217,CPI dos Cartões de Crédito - 2018,orgao
S:5030,Givago Tenório,senador
S:5076,Ione Guimarães,senador
S:5639,Guaracy Silveira,senador
O:6409169,CPI dos Maus-tratos - 2017,orgao
S:5164,Ataídes Oliveira,senador
S:715,Armando Monteiro,senador
S:5184,Zé Santana,senador
S:16,Edison Lobão,senador
S:5627,Jean-Paul Prates,senador
S:5411,Weverton,senador
S:5976,Eduardo Girão,senador
S:5502,Plínio Valério,senador
S:5585,Luiz Carlos do Carmo,senador
S:5979,Leila Barros,senador
S:5748,Veneziano Vital do Rêgo,senador
S:5350,Jorginho Mello,senador
S:22,Esperidião Amin,senador
S:470,Chico Rodrigues,senador
S:5942,Marcos do Val,senador
S:5959,Styvenson Valentim,senador
S:475,Confúcio Moura,senador
S:5953,Fabiano Contarato,senador
S:5376,Mara Gabrilli,senador
S:4770,Izalci Lucas,senador
S:1186,Luis Carlos Heinze,senador
O:5309595,Assembléia Legislativa do Estado de Santa Catarina,orgao
S:4893,Ruben Figueiró,senador
S:4786,Virginio de Carvalho,senador
S:4525,Fernando Collor,senador
S:4645,Vital do Rêgo,senador
O:5309593,Assembléia Legislativa do Estado de Roraima,orgao
S:5110,Rodrigues Palma,senador
S:5072,Reditario Cassol,senador
O:5309592,Assembléia Legislativa do Estado de Rondônia,orgao
S:4593,Rodrigo Rollemberg,senador
S:5048,Sergio Souza,senador
S:4606,Pinto Itamaraty,senador
S:5988,Soraya Thronicke,senador
O:55149,Assembléia Legislativa do Estado do Rio de Janeiro,orgao
S:5352,Rogério Carvalho,senador
S:68,Pedro Simon,senador
S:5010,Pedro Taques,senador
O:5309589,Assembléia Legislativa do Estado do Piauí,orgao
S:581,Jaques Wagner,senador
S:5020,Paulo Davim,senador
S:5929,Juíza Selma,senador
O:5309586,Assembléia Legislativa do Estado do Pará,orgao
S:1210,Osvaldo Sobrinho,senador
S:952,Mozarildo Cavalcanti,senador
S:5732,Rodrigo Pacheco,senador
O:5309590,Assembléia Legislativa do Estado do Paraná,orgao
S:4539,Mário Couto,senador
S:5002,Luiz Henrique,senador
O:55145,Assembléia Legislativa do Estado de Minas Gerais,orgao
S:64,Odacir Soares,senador
O:55148,Assembléia Legislativa do Estado do Maranhão,orgao
S:5985,Nelsinho Trad,senador
O:55147,Assembléia Legislativa do Estado de Goiás,orgao
S:3579,Lobão Filho,senador
S:4531,Jayme Campos,senador
O:5309583,Assembléia Legislativa do Estado do Espírito Santo,orgao
S:4541,João Vicente Claudino,senador
S:4776,Jorge Afonso Argello,senador
S:5924,Oriovisto Guimarães,senador
S:4545,Jarbas Vasconcelos,senador
O:7349839,Câmara Legislativa do Distrito Federal,orgao
S:4537,João Durval,senador
S:5158,Kaká Andrade,senador
S:5557,Mailza Gomes,senador
S:613,Inácio Arruda,senador
O:5309582,Assembléia Legislativa do Estado do Ceará,orgao
S:765,Francisco Dornelles,senador
S:878,José Aníbal,senador
S:5849,José Amauri,senador
S:6027,Mecias de Jesus,senador
O:5309580,Assembléia Legislativa do Estado do Amapá,orgao
S:17,Eduardo Suplicy,senador
S:4522,Geovani Borges,senador
S:2632,Fernando Ribeiro,senador
S:4877,Cyro Miranda,senador
S:5895,Jorge Kajuru,senador
S:4935,Garibaldi Alves,senador
S:4937,Ivonete Dantas,senador
S:4895,Clésio Andrade,senador
S:4529,Cícero Lucena,senador
S:13,Casildo Maldaner,senador
S:5199,Deca,senador
S:4837,Anibal Diniz,senador
S:345,Flávio Arns,senador
S:20,Epitácio Cafeteira,senador
S:4873,Fleury,senador
S:4869,Ana Rita,senador
S:3777,Eduardo Gomes,senador
S:5150,Antonio Carlos Rodrigues,senador
S:846,Aloysio Nunes Ferreira,senador
S:5990,Carlos Viana,senador
S:4527,Alfredo Nascimento,senador
S:5973,Cid Gomes,senador
S:5982,Alessandro Vieira,senador
S:3399,Demóstenes Torres,senador
O:55447,Comissão Especial para o Aprimoramento do Pacto Federativo 2015,orgao
S:5783,Zenaide Maia,senador
S:3806,Zequinha Marinho,senador
S:5926,Lucas Barreto,senador
S:5666,Major Olimpio,senador
S:5905,Rodrigo Cunha,senador
S:5894,Flávio Bolsonaro,senador
S:5967,Angelo Coronel,senador
S:5899,Vanderlan Cardoso,senador
S:5385,Irajá,senador
S:5561,Renilde Bulhões,senador
S:5998,Daniella Ribeiro,senador
S:742,Marcelo Castro,senador
S:6005,Siqueira Campos,senador
S:5422,Marcos Rogério,senador
S:285,Marcio Bittar,senador
S:751,Arolde de Oliveira,senador
O:3927825,Comissão de Meio Ambiente,orgao
S:151,Luiz Pastore,senador
S:5718,Eliziane Gama,senador
S:5971,Prisco Bezerra,senador
S:5927,Paulo Albuquerque,senador
S:6295,Carlos Fávaro,senador
S:5996,Diego Tavares,senador
O:7352903,Presidência da República,orgao
S:5281,Nilda Gondim,senador
S:5936,Carlos Portinho,senador
O:7352398,CPI da Pandemia,orgao
S:6008,Giordano,senador
O:7352682,Forum Nacional de Comitês Hidrográficas Brasil,orgao
S:5898,Eliane Nogueira,senador
S:4610,Alexandre Silveira,senador
S:611,Chiquinho Feitosa,senador
S:5740,Fabio Garcia,senador
S:6304,Margareth Buzetti,senador
S:5913,Rafael Tenório,senador
S:5902,Eduardo Velloso,senador
S:5906,Dra. Eudócia,senador
S:4642,Efraim Filho,senador
S:4811,Laércio Oliveira,senador
S:6337,Cleitinho,senador
S:6335,Damares Alves,senador
S:6338,Teresa Leitão,senador
S:6369,Jussara Lima,senador
S:6341,Hamilton Mourão,senador
S:6010,Ivete da Silveira,senador
S:6331,Sergio Moro,senador
S:6340,Jaime Bagattoli,senador
S:6009,Astronauta Marcos Pontes,senador
S:5972,Julio Ventura,senador
S:5672,Alan Rick,senador
S:5793,Dr. Hiran,senador
S:5736,Tereza Cristina,senador
S:6342,Jorge Seif,senador
S:5917,Fernando Dueire,senador
S:6362,Mauro Carvalho Junior,senador
S:4639,Beto Faro,senador
S:5386,Professora Dorinha Seabra,senador
S:4605,Flávio Dino,senador
S:6350,Augusta Brito,senador
S:6351,Janaína Farias,senador
S:4694,Rogerio Marinho,senador
S:6345,Fernando Farias,senador
S:6363,Rosana Martinelli,senador
P:2526458,MPV 2224/2001,processo
P:663587,PLS 169/2005,processo
P:2978567,PLS 214/2007,processo
P:2968939,PLS 413/2008,processo
P:2970890,PLS 260/2008,processo
P:2965245,PLS 230/2009,processo
P:2958548,PLC 31/2010,processo
P:2958841,PLS 91/2010,processo
P:516008,PLC 82/2011,processo
P:516203,PLC 71/2011,processo
P:610304,PLS 706/2011,processo
P:610472,PLS 694/2011,processo
P:610904,PLS 669/2011,processo
P:611240,PLS 650/2011,processo
P:611382,PLS 641/2011,processo
P:612317,PLS 584/2011,processo
P:613081,PLS 529/2011,processo
P:613151,PLS 519/2011,processo
P:613247,PLS 512/2011,processo
P:613343,PLS 507/2011,processo
P:613653,PLS 492/2011,processo
P:613749,PLS 485/2011,processo
P:615237,PLS 365/2011,processo
P:615717,PLS 321/2011,processo
P:615933,PLS 309/2011,processo
P:616053,PLS 293/2011,processo
P:616221,PLS 286/2011,processo
P:616317,PLS 274/2011,processo
P:617251,PLS 199/2011,processo
P:618087,PLS 143/2011,processo
P:618135,PLS 140/2011,processo
P:618255,PLS 133/2011,processo
P:618759,PLS 89/2011,processo
P:619307,PLS 53/2011,processo
P:1410299,PEC 106/2011,processo
