from,to,weight
CD:160655,CP:538196,1.0
CD:141488,CP:559138,1.0
CD:73584,CP:593065,1.0
CD:160518,CP:601739,0.25
CD:151208,CP:614512,1.0
CD:73466,CP:946475,1.0
CD:178862,CP:1301128,1.0
CD:74570,CP:1555295,0.25
CD:160512,CP:1555470,1.0
CD:160565,CP:2074843,1.0
CD:178866,CP:2075821,1.0
CD:141383,CP:2077498,0.25
CD:160621,CP:2092056,0.5
CD:178956,CP:2116186,0.25
CD:177282,CP:2142126,1.0
CD:160653,CP:2184458,1.0
CD:204488,CP:538196,1.0
CD:74047,CP:559138,1.0
CD:160655,CP:601739,0.25
CD:178834,CP:1301128,1.0
CD:160556,CP:559138,1.0
CD:160644,CP:559138,1.0
CD:74784,CP:559138,1.0
CD:74037,CP:559138,1.0
CD:141386,CP:559138,1.0
CD:160538,CP:559138,1.0
CD:178879,CP:2187087,1.0
CD:204553,CP:2190408,0.25
CD:204546,CP:2190417,0.25
CD:204532,CP:2190423,0.0
CD:160518,CP:2190450,0.25
CD:204381,CP:2190462,0.25
CD:204536,CP:2190472,0.25
CD:204494,CP:2190495,0.25
CD:204530,CP:2190519,0.25
CD:204530,CP:2190532,0.25
CD:205535,CP:2190556,0.25
CD:178989,CP:2190579,0.25
CD:178989,CP:2190585,1.0
CD:178989,CP:2190590,0.25
CD:178989,CP:2190598,1.0
CD:178989,CP:2190603,0.25
CD:178989,CP:2190619,0.25
CD:204391,CP:2190651,0.25
CD:204391,CP:2190661,0.25
CD:204508,CP:2190692,0.25
CD:160653,CP:2190701,0.0
CD:160653,CP:2190718,0.0
CD:160653,CP:2190726,0.25
CD:160653,CP:2190729,0.25
CD:160653,CP:2190740,0.25
CD:204384,CP:2190743,0.25
CD:160653,CP:2190745,0.25
CD:160653,CP:2190748,0.25
CD:178947,CP:2190752,0.25
CD:204576,CP:2190756,0.0
CD:204384,CP:2190776,0.25
CD:74371,CP:2190781,0.25
CD:74371,CP:2190799,0.25
CD:74371,CP:2190871,0.25
CD:204421,CP:2190876,0.0
CD:73486,CP:2190899,0.0
CD:204503,CP:2190908,0.5
CD:160528,CP:2190911,0.25
CD:74371,CP:2190918,0.25
CD:160559,CP:2190984,0.25
CD:160559,CP:2190988,0.25
CD:107283,CP:2190994,0.25
CD:74459,CP:2191010,0.25
CD:206231,CP:2191030,0.0
CD:204439,CP:2191045,0.0
CD:178951,CP:2191047,0.0
CD:73466,CP:2191088,0.0
CD:73466,CP:2191093,0.25
CD:73466,CP:2191094,0.25
CD:204442,CP:2191116,0.25
CD:160610,CP:2191146,0.25
CD:204530,CP:2191182,0.25
CD:204487,CP:2191196,0.25
CD:204487,CP:2191205,0.5
CD:73943,CP:2191249,0.25
CD:204427,CP:2191255,0.25
CD:204552,CP:2191327,0.0
CD:74585,CP:2191341,0.25
CD:74585,CP:2191345,0.0
CD:178874,CP:2191362,0.25
CD:160673,CP:2191424,0.25
CD:74400,CP:2191472,0.25
CD:164359,CP:2191478,0.25
CD:137070,CP:2191512,0.25
CD:204468,CP:2191516,0.25
CD:160673,CP:2191534,0.25
CD:204572,CP:2191543,0.25
CD:204478,CP:2191583,0.25
CD:204354,CP:2191619,0.25
CD:178947,CP:2191635,1.0
CD:162332,CP:2191651,0.25
CD:178961,CP:2191709,0.25
CD:204428,CP:2191871,0.25
CD:204415,CP:2191904,0.25
CD:204504,CP:2191935,0.25
CD:204572,CP:2192125,0.25
CD:204444,CP:2192142,0.25
CD:204378,CP:2192160,0.25
CD:177282,CP:2192171,0.25
CD:160758,CP:2192229,0.25
CD:204472,CP:2192251,0.25
CD:204529,CP:2192355,0.25
CD:178876,CP:2192364,0.25
CD:204556,CP:2192367,0.5
CD:160665,CP:2192406,0.25
CD:160587,CP:2192485,0.25
CD:74585,CP:2192513,0.0
CD:204488,CP:2192571,0.25
CD:204488,CP:2192574,0.25
CD:204488,CP:2192578,0.0
CD:160598,CP:2192584,0.25
CD:160598,CP:2192590,0.25
CD:116379,CP:2192593,0.25
CD:160587,CP:2192674,0.0
CD:204447,CP:2192677,0.25
CD:204487,CP:2192744,0.25
CD:204511,CP:2192747,0.0
CD:204472,CP:2192889,0.25
CD:204472,CP:2192903,0.25
CD:72442,CP:2192972,0.25
CD:204494,CP:2192978,1.0
CD:204488,CP:2192984,0.25
CD:204422,CP:2192992,0.25
CD:204488,CP:2193042,0.0
CD:198783,CP:2193087,0.25
CD:204511,CP:2193117,0.25
CD:204435,CP:2193121,0.0
CD:178874,CP:2193168,0.25
CD:74585,CP:2193220,0.25
CD:204550,CP:2193223,1.0
CD:150418,CP:2193296,0.25
CD:204453,CP:2193342,0.25
CD:204357,CP:2193372,0.25
CD:204444,CP:2193394,0.25
CD:73433,CP:2193438,1.0
CD:204480,CP:2193461,0.25
CD:178972,CP:2193472,0.0
CD:141417,CP:2193515,0.0
CD:178939,CP:2193564,0.5
CD:204533,CP:2193572,0.25
CD:204358,CP:2193576,0.25
CD:204357,CP:2193579,0.25
CD:72442,CP:2193642,0.25
CD:178962,CP:2193670,0.25
CD:204502,CP:2193684,0.25
CD:204545,CP:2193719,0.25
CD:166402,CP:2193756,0.25
CD:122974,CP:2193762,0.25
CD:204532,CP:2193767,1.0
CD:194260,CP:2193773,0.25
CD:160673,CP:2193774,0.25
CD:204463,CP:2193793,0.25
CD:204456,CP:2193801,0.25
CD:204435,CP:2193811,0.0
CD:204406,CP:2194001,0.25
CD:204541,CP:2194013,1.0
CD:90842,CP:2194049,0.25
CD:204472,CP:2194104,0.25
CD:204562,CP:2194396,0.25
CD:160665,CP:2194442,0.5
CD:204488,CP:2194460,0.25
CD:204502,CP:2194479,0.25
CD:73943,CP:2194570,0.25
CD:179587,CP:2194591,0.0
CD:164360,CP:2194749,0.25
CD:204419,CP:2194794,0.25
CO:253,CP:2194874,0.25
CD:143632,CP:2194880,0.25
CO:78,CP:2194912,0.75
CD:204543,CP:2195031,1.0
CD:204567,CP:2195062,0.25
CD:204378,CP:2195101,0.0
CD:141508,CP:2195359,0.25
CD:74158,CP:2195370,0.25
CD:204476,CP:2195439,0.25
CD:204491,CP:2195484,0.0
CD:204419,CP:2195517,0.25
CD:204416,CP:2195526,0.25
CD:204511,CP:2195535,0.25
CD:133439,CP:2195550,0.25
CD:204420,CP:2195643,0.25
CD:204420,CP:2195644,0.25
CD:160508,CP:2195665,1.0
CD:207176,CP:2195673,0.25
CD:178925,CP:2195738,0.25
CD:204488,CP:2195763,0.25
CD:178975,CP:2195836,0.25
CD:204550,CP:2195847,0.25
CD:164360,CP:2195870,0.25
CD:204400,CP:2195908,0.25
CD:204400,CP:2195909,0.25
CD:204361,CP:2195992,0.25
CD:204472,CP:2196018,0.25
CD:204364,CP:2196107,0.25
CD:204435,CP:2196157,1.0
CD:204376,CP:2196339,1.0
CD:204529,CP:2196394,0.25
CD:204467,CP:2196406,0.5
CD:204444,CP:2196476,0.0
CD:74161,CP:2196504,0.25
CD:206231,CP:2196571,0.25
CD:204430,CP:2196586,0.5
CD:204457,CP:2196699,0.25
CD:178952,CP:2196730,0.25
CD:204359,CP:2196735,0.25
CD:178959,CP:2196795,0.25
CD:141450,CP:2196809,0.25
CD:178975,CP:2196833,1.0
