name,label,partido,type,score,bigtype,billtype,cod_partido,uf
CP:2187087,PL 5029/2019,,Proposicao,1.0,bill,PL,,
CP:2190408,PL 2/2019,,Proposicao,0.25,bill,PL,,
CP:2190417,PL 10/2019,,Proposicao,0.25,bill,PL,,
CP:2190423,PL 15/2019,,Proposicao,0.0,bill,PL,,
CP:2190450,PL 21/2019,,Proposicao,0.25,bill,PL,,
CP:2190462,PL 32/2019,,Proposicao,0.25,bill,PL,,
CP:2190472,PL 39/2019,,Proposicao,0.25,bill,PL,,
CP:2190495,PL 62/2019,,Proposicao,0.25,bill,PL,,
CP:2190519,PL 76/2019,,Proposicao,0.25,bill,PL,,
CP:2190532,PL 89/2019,,Proposicao,0.25,bill,PL,,
CP:2190556,PLP 6/2019,,Proposicao,0.25,bill,PLP,,
CP:2190579,PL 119/2019,,Proposicao,0.25,bill,PL,,
CP:2190585,PL 123/2019,,Proposicao,1.0,bill,PL,,
CP:2190590,PL 127/2019,,Proposicao,0.25,bill,PL,,
CP:2190598,PL 130/2019,,Proposicao,1.0,bill,PL,,
CP:2190603,PL 135/2019,,Proposicao,0.25,bill,PL,,
CP:2190619,PL 146/2019,,Proposicao,0.25,bill,PL,,
CP:2190651,PL 164/2019,,Proposicao,0.25,bill,PL,,
CP:2190661,PL 171/2019,,Proposicao,0.25,bill,PL,,
CP:2190692,PL 185/2019,,Proposicao,0.25,bill,PL,,
CP:2190701,PL 192/2019,,Proposicao,0.0,bill,PL,,
CP:2190718,PL 207/2019,,Proposicao,0.0,bill,PL,,
CP:2190726,PL 197/2019,,Proposicao,0.25,bill,PL,,
CP:2190729,PL 213/2019,,Proposicao,0.25,bill,PL,,
CP:2190740,PL 215/2019,,Proposicao,0.25,bill,PL,,
CP:2190743,PL 234/2019,,Proposicao,0.25,bill,PL,,
CP:2190745,PL 216/2019,,Proposicao,0.25,bill,PL,,
CP:2190748,PL 217/2019,,Proposicao,0.25,bill,PL,,
CP:2190752,PL 246/2019,,Proposicao,0.25,bill,PL,,
CP:2190756,PL 249/2019,,Proposicao,0.0,bill,PL,,
CP:2190776,PL 237/2019,,Proposicao,0.25,bill,PL,,
CP:2190781,PL 290/2019,,Proposicao,0.25,bill,PL,,
CP:2190799,PL 297/2019,,Proposicao,0.25,bill,PL,,
CP:2190871,PL 275/2019,,Proposicao,0.25,bill,PL,,
CP:2190876,PL 326/2019,,Proposicao,0.0,bill,PL,,
CP:2190899,PL 343/2019,,Proposicao,0.0,bill,PL,,
CP:2190908,PL 351/2019,,Proposicao,0.5,bill,PL,,
CP:2190911,PL 347/2019,,Proposicao,0.25,bill,PL,,
CP:2190918,PL 353/2019,,Proposicao,0.25,bill,PL,,
CP:2190984,PL 362/2019,,Proposicao,0.25,bill,PL,,
CP:2190988,PL 366/2019,,Proposicao,0.25,bill,PL,,
CP:2190994,PL 371/2019,,Proposicao,0.25,bill,PL,,
CP:2191010,PL 373/2019,,Proposicao,0.25,bill,PL,,
CP:2191030,PLP 9/2019,,Proposicao,0.0,bill,PLP,,
CP:2191045,PL 379/2019,,Proposicao,0.0,bill,PL,,
CP:2191047,PL 381/2019,,Proposicao,0.0,bill,PL,,
CP:2191088,PL 418/2019,,Proposicao,0.0,bill,PL,,
CP:2191093,PL 423/2019,,Proposicao,0.25,bill,PL,,
CP:2191094,PL 424/2019,,Proposicao,0.25,bill,PL,,
CP:2191116,PL 443/2019,,Proposicao,0.25,bill,PL,,
CP:2191146,PL 460/2019,,Proposicao,0.25,bill,PL,,
CP:2191182,PL 473/2019,,Proposicao,0.25,bill,PL,,
CP:2191196,PL 481/2019,,Proposicao,0.25,bill,PL,,
