source,target,etype
CD:160655,CP:538196,autoria
CD:141488,CP:559138,autoria
CD:73584,CP:593065,autoria
CD:160518,CP:601739,autoria
CD:151208,CP:614512,autoria
CD:73466,CP:946475,autoria
CD:178862,CP:1301128,autoria
CD:74570,CP:1555295,autoria
CD:160512,CP:1555470,autoria
CD:160565,CP:2074843,autoria
CD:178866,CP:2075821,autoria
CD:141383,CP:2077498,autoria
CD:160621,CP:2092056,autoria
CD:178956,CP:2116186,autoria
CD:177282,CP:2142126,autoria
CD:160653,CP:2184458,autoria
CD:204488,CP:538196,autoria
CD:74047,CP:559138,autoria
CD:160655,CP:601739,autoria
CD:178834,CP:1301128,autoria
CD:160556,CP:559138,autoria
CD:160644,CP:559138,autoria
CD:74784,CP:559138,autoria
CD:74037,CP:559138,autoria
CD:141386,CP:559138,autoria
CD:160538,CP:559138,autoria
CD:178879,CP:2187087,autoria
CD:204553,CP:2190408,autoria
CD:204546,CP:2190417,autoria
CD:204532,CP:2190423,autoria
CD:160518,CP:2190450,autoria
CD:204381,CP:2190462,autoria
CD:204536,CP:2190472,autoria
CD:204494,CP:2190495,autoria
CD:204530,CP:2190519,autoria
CD:204530,CP:2190532,autoria
CD:205535,CP:2190556,autoria
CD:178989,CP:2190579,autoria
CD:178989,CP:2190585,autoria
CD:178989,CP:2190590,autoria
CD:178989,CP:2190598,autoria
CD:178989,CP:2190603,autoria
CD:178989,CP:2190619,autoria
CD:204391,CP:2190651,autoria
CD:204391,CP:2190661,autoria
CD:204508,CP:2190692,autoria
CD:160653,CP:2190701,autoria
CD:160653,CP:2190718,autoria
CD:160653,CP:2190726,autoria
CD:160653,CP:2190729,autoria
CD:160653,CP:2190740,autoria
CD:204384,CP:2190743,autoria
CD:160653,CP:2190745,autoria
CD:160653,CP:2190748,autoria
CD:178947,CP:2190752,autoria
CD:204576,CP:2190756,autoria
CD:204384,CP:2190776,autoria
CD:74371,CP:2190781,autoria
CD:74371,CP:2190799,autoria
CD:74371,CP:2190871,autoria
CD:204421,CP:2190876,autoria
CD:73486,CP:2190899,autoria
CD:204503,CP:2190908,autoria
CD:160528,CP:2190911,autoria
CD:74371,CP:2190918,autoria
CD:160559,CP:2190984,autoria
CD:160559,CP:2190988,autoria
CD:107283,CP:2190994,autoria
CD:74459,CP:2191010,autoria
CD:206231,CP:2191030,autoria
CD:204439,CP:2191045,autoria
CD:178951,CP:2191047,autoria
CD:73466,CP:2191088,autoria
CD:73466,CP:2191093,autoria
CD:73466,CP:2191094,autoria
CD:204442,CP:2191116,autoria
CD:160610,CP:2191146,autoria
CD:204530,CP:2191182,autoria
CD:204487,CP:2191196,autoria
CD:204487,CP:2191205,autoria
CD:73943,CP:2191249,autoria
CD:204427,CP:2191255,autoria
CD:204552,CP:2191327,autoria
CD:74585,CP:2191341,autoria
CD:74585,CP:2191345,autoria
CD:178874,CP:2191362,autoria
CD:160673,CP:2191424,autoria
CD:74400,CP:2191472,autoria
CD:164359,CP:2191478,autoria
CD:137070,CP:2191512,autoria
CD:204468,CP:2191516,autoria
CD:160673,CP:2191534,autoria
CD:204572,CP:2191543,autoria
CD:204478,CP:2191583,autoria
CD:204354,CP:2191619,autoria
CD:178947,CP:2191635,autoria
CD:162332,CP:2191651,autoria
CD:178961,CP:2191709,autoria
CD:204428,CP:2191871,autoria
CD:204415,CP:2191904,autoria
CD:204504,CP:2191935,autoria
CD:204572,CP:2192125,autoria
CD:204444,CP:2192142,autoria
CD:204378,CP:2192160,autoria
CD:177282,CP:2192171,autoria
CD:160758,CP:2192229,autoria
CD:204472,CP:2192251,autoria
CD:204529,CP:2192355,autoria
CD:178876,CP:2192364,autoria
CD:204556,CP:2192367,autoria
CD:160665,CP:2192406,autoria
CD:160587,CP:2192485,autoria
CD:74585,CP:2192513,autoria
CD:204488,CP:2192571,autoria
CD:204488,CP:2192574,autoria
CD:204488,CP:2192578,autoria
